German,English
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a 
in,in
ja,Yes
mir,me
mit,With
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,Has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,on
bin,am
noch,still
nur,only 
da,there
dir,to you
sich,itself
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,Well
auch,also
schon,beautiful
als,as
sein,be
mal,times
jetzt,now
ihn,him
dann,then
aus,out
meine,think
um,around
im,in the
wird,becomes
mein,my
bist,are you
doch,yet
alles,all
weiß,White
keine,no
oder,or
nach,after
s,S
nichts,Nothing
man,one
muss,got to
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,before
los,Come on
können,be able
wieder,again
sagen,to say
machen,make
danke,thanks
sehr,very
alle,Everyone
denn,then
mann,husband
tun,do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,their
diese,this
euch,you
einer,one
komm,come
über,above
gibt,are
okay,OK
wissen,to know
deine,yours
müssen,have to
soll,target
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,a lot of
weg,away
würde,would
tut,does
am,at the
des,of
einfach,easy
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,in order to
ganz,all
wäre,would
wollte,wanted to
weißt,white
ok,OK
sicher,secure
gesagt,said
frau,Mrs
nun,well
bis,until
wurde,became
leid,suffering
na,n / A
kannst,can
macht,power
dieser,this
zurück,return
lassen,to let
hallo,Hello
meinen,think
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,I agree
waren,were
zur,to the
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,Nice
glaube,believe
mr,MR
ab,away
gerade,just
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,did
paar,few
mach,make
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,even
gehört,heard
möchte,would like
ohne,without
hör,listening
her,from
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,become
lange,Long
natürlich,naturally
ach,Oh
meinem,my
gar,at all
ins,into the
sei,be
dort,there
weiter,further
geben,give
seit,since
gleich,same
sagt,says
recht,Law
ihren,their
richtig,correct
ordnung,order
vom,from the
hören,Listen
sieht,sees
davon,from that
dafür,Therefore
geh,walk
diesem,this
wegen,because
hause,home
sollten,should
mädchen,girl
hin,there
sollen,must
abend,evening
haus,a house
denke,think
viele,many
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,People
essen,meal
angst,fear
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,quickly
andere,other
tot,dead
getan,did
darf,may
erst,first
rein,pure
stimmt,Right
nehmen,take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,to need
gegen,versus
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,ask
herr,Mr
dabei,included
heißt,called
familie,family
warten,waiting
niemand,nobody
sofort,instantly
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,when
brauche,need
