,German,English
0,ich,I
1,sie,you
2,das,the
3,ist,is
4,du,you
5,nicht,Not
6,es,it
7,und,and
8,der,the
9,wir,we
10,was,What
11,zu,to
12,er,he
13,ein,a 
14,in,in
15,ja,Yes
16,mir,me
17,mit,With
18,wie,how
19,den,the
20,mich,me
21,auf,on
22,dass,that
23,aber,but
24,eine,one
25,so,so
26,hat,Has
27,hier,here
28,haben,to have
29,für,for
30,sind,are
31,war,was
32,von,from
33,wenn,if
34,dich,you
35,ihr,her
36,nein,no
37,habe,have
38,bin,am
39,noch,still
40,nur,only 
41,da,there
42,dir,to you
43,sich,itself
44,einen,a
45,uns,us
46,hast,have
47,dem,to the
48,kann,can
49,gut,Well
50,auch,also
51,schon,beautiful
52,als,as
53,sein,be
54,mal,times
55,jetzt,now
56,ihn,him
57,dann,then
58,aus,out
59,meine,think
60,um,around
61,im,in the
62,wird,becomes
63,mein,my
64,alles,all
65,weiß,White
66,keine,no
67,oder,or
68,nach,after
69,s,S
70,nichts,Nothing
71,man,one
72,muss,got to
73,werden,will
74,will,want
75,geht,goes
76,wo,Where
77,etwas,some
78,oh,Oh
79,mehr,more
80,bei,at
81,also,so
82,bitte,You're welcome
83,immer,always
84,hab,have
85,warum,why
86,vor,before
87,los,Come on
88,können,be able
89,wieder,again
90,sagen,to say
91,machen,make
92,danke,thanks
93,sehr,very
94,alle,Everyone
95,denn,then
96,mann,husband
97,tun,do
98,zum,to the
99,gehen,walk
100,sehen,see
101,vielleicht,perhaps
102,einem,a
103,wer,who
104,ihre,their
105,diese,this
106,euch,you
107,einer,one
108,komm,come
109,gibt,are
110,okay,OK
111,wissen,to know
112,deine,yours
113,müssen,have to
114,soll,target
115,werde,will
116,nie,never
117,wirklich,really
118,hey,hey
119,kein,no
120,viel,a lot of
121,weg,away
122,würde,would
123,tut,does
124,am,at the
125,des,of
126,einfach,easy
127,leben,Life
128,hatte,would have
129,zeit,time
130,weil,because
131,kommen,come
132,dein,your
133,heute,today
134,kommt,comes
135,wollen,want
136,damit,in order to
137,ganz,all
138,wäre,would
139,wollte,wanted to
140,weißt,white
141,ok,OK
142,sicher,secure
143,gesagt,said
144,frau,Mrs
145,nun,well
146,bis,until
147,wurde,became
148,leid,suffering
149,na,n / A
150,kannst,can
151,macht,power
152,dieser,this
153,zurück,return
154,lassen,to let
155,hallo,Hello
156,meinen,think
157,gott,God
158,seine,his
159,hätte,would have
160,zwei,two
161,könnte,could
162,genau,I agree
163,waren,were
164,zur,to the
165,lass,let
166,klar,clear
167,morgen,morning
168,leute,people
169,vater,father
170,schön,Nice
171,glaube,believe
172,mr,MR
173,ab,away
174,gerade,just
175,gesehen,seen
176,reden,talk
177,wohl,probably
178,liebe,love
179,sollte,should
180,sagte,said
181,unsere,our
182,jemand,someone
183,geld,money
184,durch,through
185,ob,if
186,keinen,no
187,mutter,mother
188,raus,Out
189,gemacht,did
190,paar,few
191,mach,make
192,passiert,happened
193,dachte,thought
194,besser,better
195,musst,must
196,wieso,how come
197,sir,sir
198,dieses,this
199,selbst,even
200,gehört,heard
201,möchte,would like
202,hör,listening
203,her,from
204,sag,say
205,meiner,mine
206,anderen,others
207,helfen,help
208,nacht,night
209,finden,Find
210,diesen,this
211,gute,quality
212,wirst,become
213,lange,Long
214,natürlich,naturally
215,ach,Oh
216,meinem,my
217,gar,at all
218,ins,into the
219,sei,be
220,dort,there
221,weiter,further
222,geben,give
223,seit,since
224,gleich,same
225,sagt,says
226,recht,Law
227,ihren,their
228,ordnung,order
229,vom,from the
230,hören,Listen
231,sieht,sees
232,davon,from that
233,dafür,Therefore
234,geh,walk
235,diesem,this
236,wegen,because
237,hause,home
238,sollten,should
239,mädchen,girl
240,hin,there
241,sollen,must
242,abend,evening
243,haus,a house
244,denke,think
245,viele,many
246,deinen,yours
247,freund,friend
248,guten,good
249,unser,our
250,warte,wait
251,machst,make
252,menschen,People
253,essen,meal
254,angst,fear
255,bleiben,stay
256,zusammen,together
257,welt,world
258,unter,under
259,habt,have
260,schnell,quickly
261,andere,other
262,tot,dead
263,getan,did
264,darf,may
265,erst,first
266,rein,pure
267,stimmt,Right
268,nehmen,take
269,kinder,children
270,eines,one
271,glauben,believe
272,bringen,bring
273,ganze,whole
274,genug,enough
275,scheiße,crap
276,gegen,versus
277,moment,moment
278,junge,Boy
279,steht,stands
280,sonst,otherwise
281,musik,music
282,arbeit,job
283,seid,are
284,ihrer,of their
285,fragen,ask
286,herr,Mr
287,dabei,included
288,heißt,called
289,familie,family
290,warten,waiting
291,niemand,nobody
292,sofort,instantly
293,bevor,before
294,jahre,years
295,einmal,once
296,problem,problem
297,sohn,son
298,wann,when
299,brauche,need
300,fertig,finished
301,halt,stop
302,allein,alone
303,beim,at the
304,sprechen,speak
305,beide,both
306,gefunden,found
307,hatten,had
308,sache,Thing
309,hilfe,Help
310,verdammt,Damn it
311,ne,ne
312,jeder,everyone
